time,open,high,low,close,tick_volume,spread,real_volume,src
2026-08-18 00:27:00,4428.06,4430.70,4427.60,4430.68,331,20,0,mt5bar
2026-08-18 00:28:00,4430.64,4430.99,4429.02,4430.31,241,20,0,mt5bar
2026-08-18 00:29:00,4430.25,4431.56,4430.01,4431.40,285,21,0,mt5bar
2026-08-18 00:30:00,4431.37,4431.61,4428.80,4429.30,245,23,0,mt5bar
2026-08-18 00:31:00,4429.24,4429.87,4428.57,4428.99,215,21,0,mt5bar
2026-08-18 00:32:00,4429.01,4429.32,4428.35,4429.31,150,21,0,mt5bar
2026-08-18 00:33:00,4429.32,4430.88,4429.31,4430.24,193,20,0,mt5bar
2026-08-18 00:34:00,4430.21,4431.78,4429.73,4431.33,201,20,0,mt5bar
2026-08-18 00:35:00,4431.35,4431.80,4430.36,4431.14,167,20,0,mt5bar
2026-08-18 00:36:00,4430.99,4431.47,4430.87,4431.29,131,22,0,mt5bar
2026-08-18 00:37:00,4431.31,4433.39,4430.84,4433.12,173,20,0,mt5bar
2026-08-18 00:38:00,4433.11,4433.11,4432.50,4432.71,176,21,0,mt5bar
2026-08-18 00:39:00,4432.74,4433.50,4432.43,4433.05,145,21,0,mt5bar
2026-08-18 00:40:00,4433.09,4433.11,4430.75,4430.75,190,23,0,mt5bar
2026-08-18 00:41:00,4430.74,4430.74,4429.00,4429.54,205,22,0,mt5bar
2026-08-18 00:42:00,4429.51,4429.51,4428.54,4428.95,144,20,0,mt5bar
2026-08-18 00:43:00,4428.99,4429.90,4428.98,4429.78,105,22,0,mt5bar
2026-08-18 00:44:00,4429.74,4429.97,4429.13,4429.55,124,25,0,mt5bar
2026-08-18 00:45:00,4429.59,4430.20,4429.05,4429.40,191,23,0,mt5bar
2026-08-18 00:46:00,4429.39,4429.39,4428.58,4429.21,157,21,0,mt5bar
2026-08-18 00:47:00,4429.19,4429.70,4428.66,4428.98,149,22,0,mt5bar
2026-08-18 00:48:00,4428.97,4429.51,4428.57,4429.47,127,21,0,mt5bar
2026-08-18 00:49:00,4429.49,4430.00,4429.02,4429.11,85,25,0,mt5bar
2026-08-18 00:50:00,4429.26,4429.75,4429.11,4429.52,109,24,0,mt5bar
2026-08-18 00:51:00,4429.54,4430.04,4429.10,4429.61,155,24,0,mt5bar
2026-08-18 00:52:00,4429.66,4430.13,4429.50,4429.97,133,21,0,mt5bar
2026-08-18 00:53:00,4430.05,4430.47,4429.08,4429.38,142,21,0,mt5bar
2026-08-18 00:54:00,4429.26,4429.46,4428.59,4429.23,148,20,0,mt5bar
2026-08-18 00:55:00,4429.32,4430.45,4429.31,4429.98,153,24,0,mt5bar
2026-08-18 00:56:00,4430.02,4430.66,4429.59,4430.13,194,22,0,mt5bar
2026-08-18 00:57:00,4430.16,4430.43,4428.89,4428.91,241,21,0,mt5bar
2026-08-18 00:58:00,4428.90,4431.62,4428.90,4431.14,246,20,0,mt5bar
2026-08-18 00:59:00,4430.96,4434.97,4430.50,4434.59,290,21,0,mt5bar
2026-08-18 01:00:00,4434.74,4436.05,4429.21,4431.83,521,20,0,mt5bar
